source_competition	organized_competition	question	source_path	organized_path	file_count	bytes
UMassCTF	UMassCTF	chains	UMassCTF/chains	UMassCTF/chains	1	16856
UMassCTF	UMassCTF	client	UMassCTF/client	UMassCTF/client	1	3402464
UMassCTF	UMassCTF	lambda	UMassCTF/lambda	UMassCTF/lambda	1	798704
VNCTF	VNCTF	1	VNCTF/1	VNCTF/1	1	9728
XCTF	XCTF	88901b167ef04a749e61551f309ee3f1	XCTF/88901b167ef04a749e61551f309ee3f1	XCTF/88901b167ef04a749e61551f309ee3f1	1	1267944
XCTF-AdWorld	XCTF	001-hackme	XCTF-AdWorld/001-hackme	XCTF/001-hackme	1	747304
XCTF-AdWorld	XCTF	003-re2-cpp-is-awesome	XCTF-AdWorld/003-re2-cpp-is-awesome	XCTF/003-re2-cpp-is-awesome	1	10720
XCTF-AdWorld	XCTF	004-666	XCTF-AdWorld/004-666	XCTF/004-666	2	34000
XCTF-AdWorld	XCTF	005-easyRE1	XCTF-AdWorld/005-easyRE1	XCTF/005-easyRE1	3	25000
XCTF-AdWorld	XCTF	006-re1-100	XCTF-AdWorld/006-re1-100	XCTF/006-re1-100	2	2555376
XCTF-AdWorld	XCTF	007-Shuffle	XCTF-AdWorld/007-Shuffle	XCTF/007-Shuffle	1	7489
XCTF-AdWorld	XCTF	008-re-for-50-plz-50	XCTF-AdWorld/008-re-for-50-plz-50	XCTF/008-re-for-50-plz-50	1	696652
XCTF-AdWorld	XCTF	009-dmd-50	XCTF-AdWorld/009-dmd-50	XCTF/009-dmd-50	1	23991
XCTF-AdWorld	XCTF	011-secret-galaxy-300	XCTF-AdWorld/011-secret-galaxy-300	XCTF/011-secret-galaxy-300	4	95965
XCTF-AdWorld	XCTF	012-srm-50	XCTF-AdWorld/012-srm-50	XCTF/012-srm-50	1	83456
XCTF-AdWorld	XCTF	013-Mysterious	XCTF-AdWorld/013-Mysterious	XCTF/013-Mysterious	1	176228
XCTF-AdWorld	XCTF	014-answer-to-everything	XCTF-AdWorld/014-answer-to-everything	XCTF/014-answer-to-everything	2	17440
XCTF-AdWorld	XCTF	015-elrond32	XCTF-AdWorld/015-elrond32	XCTF/015-elrond32	2	11040
XCTF-AdWorld	XCTF	018-Reversing-x64Elf-100	XCTF-AdWorld/018-Reversing-x64Elf-100	XCTF/018-Reversing-x64Elf-100	1	6320
XCTF-AdWorld	XCTF	019-IgniteMe	XCTF-AdWorld/019-IgniteMe	XCTF/019-IgniteMe	1	307291
XCTF-AdWorld	XCTF	020-流浪者	XCTF-AdWorld/020-流浪者	XCTF/020-流浪者	2	49152
XCTF-AdWorld	XCTF	021-EasyRE	XCTF-AdWorld/021-EasyRE	XCTF/021-EasyRE	1	9216
XCTF-AdWorld	XCTF	022-SignIn	XCTF-AdWorld/022-SignIn	XCTF/022-SignIn	1	10240
XCTF-AdWorld	XCTF	023-simple-check-100	XCTF-AdWorld/023-simple-check-100	XCTF/023-simple-check-100	4	95233
XCTF-AdWorld	XCTF	024-debug	XCTF-AdWorld/024-debug	XCTF/024-debug	1	6656
XCTF-AdWorld	XCTF	026-EASYHOOK	XCTF-AdWorld/026-EASYHOOK	XCTF/026-EASYHOOK	1	53248
XCTF-AdWorld	XCTF	027-crackme	XCTF-AdWorld/027-crackme	XCTF/027-crackme	1	6213
XCTF-AdWorld	XCTF	028-crazy	XCTF-AdWorld/028-crazy	XCTF/028-crazy	2	41088
XCTF-AdWorld	XCTF	029-Repalce	XCTF-AdWorld/029-Repalce	XCTF/029-Repalce	2	12288
XCTF-AdWorld	XCTF	030-gametime	XCTF-AdWorld/030-gametime	XCTF/030-gametime	1	107008
XCTF-AdWorld	XCTF	031-ReverseMe-120	XCTF-AdWorld/031-ReverseMe-120	XCTF/031-ReverseMe-120	1	91136
XCTF-AdWorld	XCTF	032-serial-150	XCTF-AdWorld/032-serial-150	XCTF/032-serial-150	1	10074
XCTF-AdWorld	XCTF	034-testre	XCTF-AdWorld/034-testre	XCTF/034-testre	2	20848
XCTF-AdWorld	XCTF	035-reverse-for-the-holy-grail-350	XCTF-AdWorld/035-reverse-for-the-holy-grail-350	XCTF/035-reverse-for-the-holy-grail-350	1	12632
XCTF-AdWorld	XCTF	036-Windows-Reverse2	XCTF-AdWorld/036-Windows-Reverse2	XCTF/036-Windows-Reverse2	2	44544
XCTF-AdWorld	XCTF	037-Newbie_calculations	XCTF-AdWorld/037-Newbie_calculations	XCTF/037-Newbie_calculations	1	66048
XCTF-AdWorld	XCTF	038-easyre-153	XCTF-AdWorld/038-easyre-153	XCTF/038-easyre-153	1	7540
XCTF-AdWorld	XCTF	039-key	XCTF-AdWorld/039-key	XCTF/039-key	1	26112
XCTF-AdWorld	XCTF	040-deedeedee	XCTF-AdWorld/040-deedeedee	XCTF/040-deedeedee	2	2398842
XCTF-AdWorld	XCTF	041-Windows-Reverse1	XCTF-AdWorld/041-Windows-Reverse1	XCTF/041-Windows-Reverse1	1	7680
XCTF-AdWorld	XCTF	042-notsequence	XCTF-AdWorld/042-notsequence	XCTF/042-notsequence	1	4472
XCTF-AdWorld	XCTF	043-easy_Maze	XCTF-AdWorld/043-easy_Maze	XCTF/043-easy_Maze	2	35664
XCTF-AdWorld	XCTF	044-zorropub	XCTF-AdWorld/044-zorropub	XCTF/044-zorropub	1	10624
XCTF-AdWorld	XCTF	045-catch-me	XCTF-AdWorld/045-catch-me	XCTF/045-catch-me	1	6872
XCTF-AdWorld	XCTF	046-BabyXor	XCTF-AdWorld/046-BabyXor	XCTF/046-BabyXor	3	761596
XCTF-AdWorld	XCTF	048-梅津美治郎	XCTF-AdWorld/048-梅津美治郎	XCTF/048-梅津美治郎	2	69632
XCTF-AdWorld	XCTF	049-echo-server	XCTF-AdWorld/049-echo-server	XCTF/049-echo-server	1	5584
