题目编号,赛事名称,题目名称,论文分类集合,P1-Block,P2-Obfuscate,P3-Morph,P4-Conceal,U0-待复核,保护证据,标注置信度,原始数据集相对路径
绿城杯/抛石机,绿城杯,抛石机,U0,否,否,否,否,是,静态证据不足，待人工复核,低,绿城杯/抛石机
羊城杯/BabySmc-e6f4a804-1fbf-482d-b140-151927ddcfdb,羊城杯,BabySmc-e6f4a804-1fbf-482d-b140-151927ddcfdb,P1+P3,是,否,是,否,否,由 C3 环境与交互干预映射：题目目录名明确指向运行时/加壳机制: BabySmc-e6f4a804-1fbf-482d-b140-151927ddcfdb；C2 证据包含运行时解码/自修改线索：题目目录名明确指向运行时/加壳机制: BabySmc-e6f4a804-1fbf-482d-b140-151927ddcfdb,中,羊城杯/BabySmc-e6f4a804-1fbf-482d-b140-151927ddcfdb
羊城杯/DeltX-9e57946f-ce9c-452e-a526-8923af9faa07,羊城杯,DeltX-9e57946f-ce9c-452e-a526-8923af9faa07,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetStartupInfoW GetModuleHandleW RtlUnwindEx GetLastError SetLastError EnterCri; 时序/工具干预: lVirtualUnwind UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,羊城杯/DeltX-9e57946f-ce9c-452e-a526-8923af9faa07
羊城杯/EasyVM-e4400ed4-b59d-45fb-b7eb-b47d27347c4f,羊城杯,EasyVM-e4400ed4-b59d-45fb-b7eb-b47d27347c4f,P4,否,否,否,是,否,C2 证据包含加壳/虚拟化线索：虚拟机/解释器: EasyVM /lib/ld-linux.so.2 libc.so.6 _IO_stdin_used exit __stack_chk_fail putchar stdin; 题目目录名明确指向运行时/加壳机制: EasyVM-e4400ed4-b59d-45fb-b7eb-b47d27347c4f,高,羊城杯/EasyVM-e4400ed4-b59d-45fb-b7eb-b47d27347c4f
羊城杯/OddCode-bad214b6-1393-4565-85d3-0bd509bc1c48,羊城杯,OddCode-bad214b6-1393-4565-85d3-0bd509bc1c48,U0,否,否,否,否,是,静态证据不足，待人工复核,低,羊城杯/OddCode-bad214b6-1393-4565-85d3-0bd509bc1c48
羊城杯/safe box-8d0015ea-7146-4ed4-88dc-de6e8783dffa,羊城杯,safe box-8d0015ea-7146-4ed4-88dc-de6e8783dffa,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: a$6 .data .bss .pdata .rsrc$01 .rsrc$02 WriteProcessMemory WaitForDebugEvent GetModuleFileNameW CreatePipe ContinueDebugEvent GetLastError; 时序/工具干预: lVirtualUnwind UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePrese,中,羊城杯/safe box-8d0015ea-7146-4ed4-88dc-de6e8783dffa
莲城杯/baby_rust,莲城杯,baby_rust,P2,否,是,否,否,否,由 C1/C4 映射：伪成功/伪验证,低,莲城杯/baby_rust
虎符网络安全技能大赛/CrackMe,虎符网络安全技能大赛,CrackMe,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetModuleHandleW KERNEL32.dll memcpy memmove .?AVtype_info@@ .?AVbad_alloc@std@; 时序/工具干预: lVirtualUnwind UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,虎符网络安全技能大赛/CrackMe
虎符网络安全技能大赛/re,虎符网络安全技能大赛,re,U0,否,否,否,否,是,静态证据不足，待人工复核,低,虎符网络安全技能大赛/re
西湖论剑/2111196197801f19959,西湖论剑,2111196197801f19959,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent UnhandledExceptionFilter SetUnhandledExceptionFilter GetStartupInfoW IsProcesso; 时序/工具干预: minate ucrtbased.dll GetCurrentThreadId QueryPerformanceCounter GetCurrentProcessId GetSystemTimeAsFileTime InitializeSListHead,中,西湖论剑/2111196197801f19959
西湖论剑/2111196197801f693f3,西湖论剑,2111196197801f693f3,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent UnhandledExceptionFilter SetUnhandledExceptionFilter GetStartupInfoW IsProcesso; 时序/工具干预: it _controlfp_s terminate ucrtbased.dll QueryPerformanceCounter GetCurrentProcessId GetSystemTimeAsFileTime InitializeSListHead,中,西湖论剑/2111196197801f693f3
西湖论剑/2111196197801f94a65,西湖论剑,2111196197801f94a65,U0,否,否,否,否,是,静态证据不足，待人工复核,低,西湖论剑/2111196197801f94a65
西湖论剑/21111961978038e80fb,西湖论剑,21111961978038e80fb,U0,否,否,否,否,是,静态证据不足，待人工复核,低,西湖论剑/21111961978038e80fb
